brand,name,model-name,image-src,price,sale,rate,no-reviews,display-size,ram,HDD,processor,graphics-card,link-href,operating-system,SSD,rate-weight,site
Lenovo,"Lenovo Legion 5 Pro 16Ith6H Gaming Laptop, Intel Core I7-12700H, 16 Inch Wqxga, 32GB RAM, 1TB Nvme, Nvidia Geforce RTX 3060 6GB GDDR6, DOS, Storm Grey",Legion 5 Pro 16ITH6H,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/7/1/71fzx0pgy5l._ac_sl1500__erbpatksputu1th5.jpg?format=jpeg&width=368,75790.0,3.0,0.0,0.0,16.9 Inch,32 GB,1TB,Intel Core i7-12700H,Nvidia Geforce RTX 3060 6GB GDDR6,https://www.rayashop.com/en/lenovo-legion-5-pro-16ith6h-gaming-laptop-intel-core-i7-12700h-16-inch-wqxga-32gb-ram-1tb-nvme-nvidia-geforce-rtx-3060-6gb-gddr6-dos-storm-grey,DOS,none,0.0,Raya
Dell,"Dell Vostro 3510 Laptop, Intel Core I3-1115G4, 15.6 Inch HD, 256 GB Nvme, 4 GB RAM, Intel UHD Graphics, Ubuntu, Black",Vostro 3510,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/p/i/pisdkfi_icw5jaxtpusvnkok.jpeg?format=jpeg&width=368,14290.0,8.0,0.0,0.0,15.9 Inch,4 GB,256GB,Intel Core I3-1115G4,Intel UHD Graphics,https://www.rayashop.com/en/dell-vostro-3510-laptop-intel-core-i3-1115g4-15-6-inch-hd-256-gb-nvme-4-gb-ram-intel-uhd-graphics-ubuntu-black-s77,Ubuntu,none,0.0,Raya
Lenovo,"Lenovo Legion 5 15Ach6H Gaming Laptop, AMD Ryzen 7 5800H, 15.6 Inch FHD, 1TB Nvme, 16GB RAM, Nvidia Geforce RTX 3070 8GB, DOS, Phantom Blue With Legion Rgb Wired Gaming Mouse, Black - M300",Legion 5 15ACH6H,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/l/6/l6gvua7_qfmn3zxakkaq1iqh.png?format=jpeg&width=368,59890.0,8.0,0.0,0.0,15.9 Inch,16 GB,none,AMD Ryzen 7 5800H,Nvidia Geforce RTX 3070 8GB,https://www.rayashop.com/en/lenovo-legion-5-15ach6h-gaming-laptop-amd-ryzen-7-5800h-15-6-inch-fhd-1tb-nvme-16gb-ram-nvidia-geforce-rtx-3070-8gb-dos-phantom-blue-with-legion-rgb-wired-gaming-mouse-black-m300,DOS,1TB,0.0,Raya
Dell,"Dell Vostro 3510 Laptop, Intel Core I7-1165G7, 15.6 Inch FHD, 1TB HDD, 8GB RAM, Nvidia Geforce MX350 2GB, Ubuntu, Carbon Black",Vostro 3510,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/d/e/dellvostro3510i7-delta_hd8lznso9f6girjs.jpg?format=jpeg&width=368,32999.0,1.0,0.0,0.0,15.9 Inch,8 GB,1TB,Intel Core i7-1165G7,Nvidia Geforce MX350 2GB,https://www.rayashop.com/en/dell-vostro-3510-laptop-intel-core-i7-1165g7-15-6-inch-fhd-1tb-hdd-8gb-ram-nvidia-geforce-mx350-2gb-ubuntu-carbon-black-851,Ubuntu,none,0.0,Raya
HP,"Hp Probook 450 G9 Laptop, Intel Core I5-1235U, 15.6 Inch HD, 512GB, 8G RAM, Nvidia MX570 2GB, DOS, Silver",ProBook 450 G9,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/r/r/rrivv4t_-_imgur.jpg?format=jpeg&width=368,32999.0,11.0,0.0,0.0,15.9 Inch,8 GB,512GB,Intel Core i5-1235U,Nvidia MX570 2GB,https://www.rayashop.com/en/hp-probook-450-g9-laptop-intel-core-i5-1235u-15-6-inch-hd-512gb-8g-ram-nvidia-mx570-2gb-dos-silver,DOS ,none,0.0,Raya
Lenovo,"Lenovo Thinkpad X1 Carbon Gen 9 Laptop, Intel Core I7-1165G7 Processor, 14 Inch Wuxga, 512GB SSD, 16GB RAM, Integrated Intel Iris Xe Graphics, Win 10, Black - 20Xw000Sad",Thinkpad X1 Carbon Gen 9,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/e/p/ep8qa0n_ckftsk3k0zxi2fht.jpg?format=jpeg&width=368,97450.0,25.0,0.0,0.0,14.9 Inch,16 GB,none,Intel Core i7-1165G7,Integrated Intel Iris Xe Graphics,https://www.rayashop.com/en/lenovo-thinkpad-x1-carbon-gen-9-laptop-intel-core-i7-1165g7-processor-14-inch-wuxga-512gb-ssd-16gb-ram-integrated-intel-iris-xe-graphics-win-10-black-20xw000sad,Windows,512GB,0.0,Raya
Dell,"Dell G15-5520 Gaming Laptop, Intel Core I7-12700H, 15.6 Inch FHD, 512GB SSD, 16GB RAM, Nvidia Geforce RTX 3060 6GB, Ubuntu, Grey",G15-5520,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/7/j/7jvjcrr_d1iiktyrhupwsfle.jpg?format=jpeg&width=368,57699.0,20.0,0.0,0.0,15.9 Inch,16 GB,none,Intel Core i7-12700H,Nvidia Geforce RTX 3060 6GB,https://www.rayashop.com/en/dell-g15-5520-gaming-laptop-intel-core-i7-12700h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3060-6gb-ubuntu-grey,Ubuntu,512GB,0.0,Raya
Asus,"Asus Vivobook 13 Slate Oled T3300Ka-Oled001W Laptop, Intel Pentium N6000, 13.3 Inch FHD Oled Touch Screen, 256GB SSD, 8GB RAM, Intel UHD Graphics, Win 11, Black",Vivobook 13 Slate OLED T3300KA-OLED001W,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/2/e/2egakei_d5vhmigbtntl7zsm_1.png?format=jpeg&width=368,24999.0,7.0,0.0,0.0,13.9 Inch,8 GB,none,Intel Pentium Silver N6000,Intel UHD Graphics,https://www.rayashop.com/en/asus-vivobook-13-slate-oled-t3300ka-oled001w-laptop-intel-pentium-n6000-13-3-inch-fhd-oled-touch-screen-256gb-ssd-8gb-ram-intel-uhd-graphics-windows-11-black,Windows,256GB,0.0,Raya
Acer,"Acer Aspire 3 Laptop, Intel Core I3-1005G1, 15.6 Inch FHD, 1TB HDD, 4 GB RAM, Integrated Intel UHD Graphics, DOS, Black - A315-56-33Sx",Aspire 3 A315-56-33SX,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/6/9/69736103010-technology_nbj5bkrculdorkxv.jpg?format=jpeg&width=368,11899.0,33.0,0.0,0.0,15.9 Inch,4 GB,1TB,Intel Core i3-1005G1,Integrated Intel UHD Graphics,https://www.rayashop.com/en/acer-aspire-3-laptop-intel-core-i3-1005g1-15-6-inch-fhd-1tb-hdd-4-gb-ram-integrated-intel-uhd-graphics-dos-black-a315-56-33sx,DOS,none,0.0,Raya
Dell,"Dell 5520 G15 Laptop, Intel Core I7-12700H, 15.6 Inch FHD, 512GB SSD, 16GB RAM, Nvidia Geforce RTX 3050 4GB, Ubuntu, Grey",5520 G15,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/e/d/ed5520i712165123060_1.jpg?format=jpeg&width=368,43100.0,3.0,0.0,0.0,15.9 Inch,16 GB,none,Intel Core I7-12700H,Nvidia Geforce RTX 3050 4GB,https://www.rayashop.com/en/dell-5520-g15-laptop-intel-core-i7-12700h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3050-4gb-ubuntu-grey-m42,Ubuntu,512GB,0.0,Raya
Dell,"Dell 5520 G15 Laptop, Intel Core I7-12700H, 15.6 Inch FHD, 512GB SSD, 16GB RAM, Nvidia Geforce RTX 3060 6GB, Ubuntu, Grey",5520 G15,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/e/d/ed5520i712165123060.jpg?format=jpeg&width=368,49690.0,10.0,0.0,0.0,15.9 Inch,16 GB,none,Intel Core I7-12700H,Nvidia Geforce RTX 3060 6GB,https://www.rayashop.com/en/dell-5520-g15-laptop-intel-core-i7-12700h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3060-6gb-ubuntu-grey,Ubuntu,512GB,0.0,Raya
HP,"Hp Pavilion Gaming 15-Dk2104Ne Laptop, Intel Core I5-11300H, 15.6 FHD, 512GB, 16GB RAM, Nvidia GTX 1650 4GB, DOS, Black",Pavilion Gaming 15-Dk2104Ne,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/e/h/ehppv2104.jpg?format=jpeg&width=368,29990.0,0.0,0.0,0.0,15.9 Inch,16 GB,512GB,Intel Core I5-11300H,Nvidia GTX 1650 4GB,https://www.rayashop.com/en/hp-pavilion-gaming-15-dk2104ne-laptop-intel-core-i5-11300h-15-6-fhd-512gb-16gb-ram-nvidia-gtx-1650-4gb-dos-black,DOS,none,0.0,Raya
Lenovo,"Lenovo X360 Flex 3 Notebook, AMD Athlon 3050U, 11.5 Inch, 128 SSD, 4GB RAM, Touch, Blue",X360 Flex 3,https://api-rayashop.freetls.fastly.net/media/catalog/product/cache/4e49ac3a70c0b98a165f3fa6633ffee1/7/8/78d374e1-ff31-4cbf-8b68-194db8d32592.jpg?format=jpeg&width=368,11884.0,20.0,0.0,0.0,11.9 Inch,4 GB,none,AMD Athlon 3050U,AMD Radeon Graphics,https://www.rayashop.com/en/lenovo-x360-flex-3-notebook-amd-athlon-3050u-11-5-inch-128-ssd-4gb-ram-touch-blue,DOS,128GB,0.0,Raya
Asus,"Asus Vivobook 16X D1603QA-FP005W - AMD Ryzen™ 5 5600H - 8GB - 512GB SSD - AMD Radeon™ Graphics - 16"" WUXGA - Win11 - Quiet Blue",Asus Vivobook 16X D1603QA-FP005W,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu433.jpg,25599.0,12.63,0.0,0.0,16 inches,8GB,None,"AMD Ryzen™ 5 5600H Mobile Processor (6-core/12-thread, 19MB cache, up to 4.2 GHz max boost)",None,https://2b.com.eg/en/asus-vivobook-16x-d1603qa-fp005w-amd-ryzentm-5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-16-wuxga-win11-quiet-blue.html,Windows 11,512GB M.2 NVMe™ PCIe  3.0 SSD,0.0,2B
Acer,"Acer Aspire 3 - Intel® Core™ i3-1115G4 - 4GB - 1TB - Intel UHD Graphics - 15.6"" FHD - Pure Silver",Acer Aspire 3,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/c/zc266.jpg,12299.0,11.51,0.0,0.0,15.6 inches,4 GB,1TB,"11 Generation Intel  Core™ i3-1115G4 (up to 4.1 GHz with Intel  Turbo Boost Technology, 6 MB L3 cache, 2 cores, 4 threads)",Intel UHD Graphics,https://2b.com.eg/en/acer-aspire-3-intelr-coretm-i3-1115g4-4gb-1tb-intel-uhd-graphics-15-6-fhd-pure-silver.html,Free Dos,None,0.0,2B
Asus,ASUS Vivobook S 14 Flip TP3402ZA-LZ005W - Intel® Core™ i5-12500H - 8GB - 512GB SSD - Intel® UHD Graphics - 14.0'' WUXGA - Win11 - Cool Silver,TP3402ZA-LZ005W,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu358-1.jpg,33599.0,15.15,0.0,0.0,14 inches,8GB,None,"12th Gen Intel  Core™ i5-12500H (up to 4.5 GHz with Intel  Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads)",Intel UHD Graphics,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz005w-intelr-coretm-i5-12500h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,Windows 11,512GB SSD,0.0,2B
HP,"HP Pavilion 15 - Intel® Core™ i5-1235U - 8 GB - 512GB SSD - NVIDIA® GeForce® MX550 2GB - 15.6"" FHD - Win11 - Silver",HP Pavilion 15,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh410-0_1.jpg,36999.0,12.53,0.0,0.0,15.6 inches,8 GB,None,"12Gen Intel  Core™ i5-1235U (up to 4.4 GHz with Intel  Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",NVIDIA  GeForce  MX550 (2 GB GDDR6 dedicated),https://2b.com.eg/en/hp-pavilion-15-intelr-coretm-i5-1235u-8gb-512gb-ssd-nvidiar-geforcer-mx550-2gb-15-6-fhd-win11-silver.html,Windows 11,512 GB PCIe  NVMe™ M.2 SSD,0.0,2B
Asus,"Asus TUF Gaming F15 FX506HF-HN001W - Intel® Core™i5-11400H - 8GB - 512GB SSD - NVIDIA® GeForce® RTX™ 2050 4GB - 15.6"" FHD - Win11 - Graphite Black",FX506HF-HN001W,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu423-edited.jpg,37499.0,15.92,0.0,0.0,15.6 inches,8GB,None,"11th gen Intel  Core™ i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",NVIDIA  GeForce RTX™ 2050 4GB GDDR6,https://2b.com.eg/en/asus-tuf-gaming-f15-fx506hf-hn001w-intelr-coretmi5-11400h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-win11-graphite-black.html,Windows 11,512GB PCIe  3.0 NVMe™ M.2 SSD,0.0,2B
Dell,"Dell Latitude 3540 - Intel® Core™ i5 1335U - 8 GB- 256 SSD - Intel® Iris® Xe -15.6"" FHD - Grey",Dell Latitude 3540,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd082-edited.jpg,32999.0,10.81,0.0,0.0,15.6 inches,8 GB,None,13th gen Intel Core i5-1335U Turbo Boost up to 4.6Ghz,None,https://2b.com.eg/en/dell-latitude-3540-intelr-coretm-i5-1335u-8-gb-256-ssd-intelr-irisr-xe-15-6-fhd-grey.html,Free Dos,256 GB SSD,0.0,2B
Lenovo,"Lenovo ThinkPad E15 - Intel® Core™ i7-1165G7 - 8GB - 512GB SSD - NVIDIA® GeForce MX450 2GB - 15.6"" FHD - Black",Lenovo ThinkPad E15,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl185-1-2b-min_1.jpg,42999.0,4.44,0.0,0.0,15.6 inches,8GB,None,"11th Gen Intel  Core™ i7-1165G7 Processor 12M Cache, up to 4.70 GHz, with IPU",NVIDIA  GeForce MX450 2GB,https://2b.com.eg/en/lenovo-thinkpad-e15-intelr-coretm-i7-1165g7-8gb-512gb-ssd-nvidiar-geforce-mx450-2gb-15-6-fhd-black-20td002yed.html,Free Dos,512 GB SSD,0.0,2B
Lenovo,"Lenovo IdeaPad 5 15IAL7 - Intel® Core™ i5-1235U - 8GB - 512GB SSD - Intel Iris Xe Graphics - 15.6""FHD - Win11 - Storm Grey",Lenovo IdeaPad 5 15IAL7,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl349-1-2b-1y_1.jpg,26899.0,10.93,0.0,0.0,15.6 inches,8GB,None,"12th Gen Intel  Core™i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB",Intel Iris Xe Graphics,https://2b.com.eg/en/lenovo-ideapad-5-15ial7-intelr-coretm-i5-1235u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-win11-storm-grey.html,Windows 11,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,0.0,2B
HP,"HP Victus 15-fb0036ne - AMD Ryzen™ 5-5600H - 8GB - 1TB SSD - NVIDIA® GeForce GTX 1650 4GB - 15.6"" FHD - Win11 - Mica Silver",HP Victus 15-fb0036ne,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh417-1-2b_1_2_1_1.jpg,35799.0,12.47,0.0,0.0,15.6 inches,8 GB,None,"AMD Ryzen™ 5 5600H (up to 4.2 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads)",NVIDIA  GeForce  GTX 1650 Laptop GPU (4 GB GDDR6 dedicated),https://2b.com.eg/en/hp-victus-15-fb0036ne-amd-ryzentm-5-5600h-8gb-1tb-ssd-nvidiar-geforce-gtx-1650-4gb-15-6-fhd-win11-mica-silver.html,Windows 11,1TB PCIe  NVMe™ TLC M.2 SSD,0.0,2B
